spec,cycle,state,office,days_to_election,target,actual_margin,prior_margin,prior_cycle,predicted,residual,predicted_loo,residual_loo,null_predicted,null_residual,early_share_of_total,ev_party_margin,mail_share,ev_party_margin_swing,mail_share_swing,pace_vs_prior,ev_ballots,source_tier,source_name,retrieved_at
party,2024,KY,president,0,-4.5995,-30.5346,-25.9351,2020,-6.2744,1.6749,-6.5629,1.9634,0,-4.5995,38.7363,-10.5113,14.2991,,,,803596,1,ky-sbe,2026-09-06T15:38:49+00:00
party,2024,MD,president,5,-4.6767,28.5337,33.2104,2020,-4.2773,-0.3994,-4.2129,-0.4638,0,-4.6767,,26.3144,,-6.2778,,160.4021,,1,md-sbe,2026-09-06T15:38:49+00:00
party,2024,MD,senate,5,-22.7479,11.8015,34.5494,2018,-4.2773,-18.4706,-1.3022,-21.4457,0,-22.7479,,26.3144,,-6.2778,,160.4021,,1,md-sbe,2026-09-06T15:38:49+00:00
party,2024,ME,president,0,-2.1283,6.8461,8.9744,2020,-4.5932,2.4649,-4.8528,2.7245,0,-2.1283,44.9595,20.4896,58.5189,-13.993,-12.6111,59.8332,37876,1,me-sos,2026-09-06T15:38:49+00:00
party,2024,ME,senate,0,1.5712,-23.2132,-24.7844,2018,-4.5932,6.1644,-5.2426,6.8138,0,1.5712,44.9595,20.4896,58.5189,-13.993,-12.6111,59.8332,37876,1,me-sos,2026-09-06T15:38:49+00:00
party,2024,NC,president,0,-1.8638,-3.2119,-1.3481,2020,-5.7677,3.9039,-6.113,4.2492,0,-1.8638,79.3237,-1.1678,,-11.4167,,106.6301,4520768,1,nc-sbe,2026-09-06T15:38:49+00:00
party,2024,NV,president,1,-5.4891,-3.0985,2.3906,2020,-5.9947,0.5056,-6.0542,0.5651,0,-5.4891,,-5.3531,50.5818,,,,,2,uf-election-lab,2026-09-06T15:38:49+00:00
party,2024,NV,senate,1,-3.3844,1.6426,5.027,2018,-5.9947,2.6103,-6.302,2.9176,0,-3.3844,,-5.3531,50.5818,,,,,2,uf-election-lab,2026-09-06T15:38:49+00:00
party,2024,PA,president,0,-2.8746,-1.7097,1.1649,2020,-4.3284,1.4538,-4.5467,1.6721,0,-2.8746,27.8671,25.3715,,,,,1960226,1,pa-dos,2026-09-06T15:38:49+00:00
party,2024,PA,senate,0,-13.0874,-0.217,12.8704,2018,-4.3284,-8.759,-3.0131,-10.0743,0,-13.0874,28.1515,25.3715,,,,,1960226,1,pa-dos,2026-09-06T15:38:49+00:00
party_and_share,2022,NC,senate,0,2.4704,-3.2257,-5.6961,2016,-4.1387,6.6091,-5.2271,7.6975,0,2.4704,57.973,10.2489,8.0886,,,,2187856,1,nc-sbe,2026-09-06T15:38:49+00:00
party_and_share,2024,FL,president,0,-9.7417,-13.1,-3.3583,2020,-6.7382,-3.0035,-5.2864,-4.4553,0,-9.7417,83.8761,-13.2926,,,,,9137249,2,uf-election-lab,2026-09-06T15:38:49+00:00
party_and_share,2024,FL,senate,0,-12.6559,-12.7784,-0.1225,2018,-6.7146,-5.9413,-3.6863,-8.9696,0,-12.6559,84.939,-13.2926,,,,,9137249,2,uf-election-lab,2026-09-06T15:38:49+00:00
party_and_share,2024,IA,president,0,-5.0565,-13.2095,-8.153,2020,-6.1846,1.1281,-6.6979,1.6414,0,-5.0565,40.8954,-2.118,,,,,680297,1,ia-sos,2026-09-06T15:38:49+00:00
party_and_share,2024,KY,president,0,-4.5995,-30.5346,-25.9351,2020,-7.3641,2.7646,-12.1876,7.5881,0,-4.5995,38.7363,-10.5113,14.2991,,,,803596,1,ky-sbe,2026-09-06T15:38:49+00:00
party_and_share,2024,ME,president,0,-2.1283,6.8461,8.9744,2020,-3.0465,0.9182,-3.28,1.1517,0,-2.1283,44.9595,20.4896,58.5189,-13.993,-12.6111,59.8332,37876,1,me-sos,2026-09-06T15:38:49+00:00
party_and_share,2024,ME,senate,0,1.5712,-23.2132,-24.7844,2018,-3.0465,4.6177,-4.2204,5.7916,0,1.5712,44.9595,20.4896,58.5189,-13.993,-12.6111,59.8332,37876,1,me-sos,2026-09-06T15:38:49+00:00
party_and_share,2024,NC,president,0,-1.8638,-3.2119,-1.3481,2020,-5.2045,3.3407,-6.5363,4.6725,0,-1.8638,79.3237,-1.1678,,-11.4167,,106.6301,4520768,1,nc-sbe,2026-09-06T15:38:49+00:00
party_and_share,2024,PA,president,0,-2.8746,-1.7097,1.1649,2020,-2.7674,-0.1072,-2.7259,-0.1487,0,-2.8746,27.8671,25.3715,,,,,1960226,1,pa-dos,2026-09-06T15:38:49+00:00
party_and_share,2024,PA,senate,0,-13.0874,-0.217,12.8704,2018,-2.761,-10.3264,1.2019,-14.2893,0,-13.0874,28.1515,25.3715,,,,,1960226,1,pa-dos,2026-09-06T15:38:49+00:00
party_swing,2024,MD,president,5,-4.6767,28.5337,33.2104,2020,-13.3332,8.6565,-21.2658,16.5891,0,-4.6767,,26.3144,,-6.2778,,160.4021,,1,md-sbe,2026-09-06T15:38:49+00:00
party_swing,2024,MD,senate,5,-22.7479,11.8015,34.5494,2018,-13.3332,-9.4147,-4.7059,-18.042,0,-22.7479,,26.3144,,-6.2778,,160.4021,,1,md-sbe,2026-09-06T15:38:49+00:00
party_swing,2024,ME,president,0,-2.1283,6.8461,8.9744,2020,0.4776,-2.6059,2.3124,-4.4407,0,-2.1283,44.9595,20.4896,58.5189,-13.993,-12.6111,59.8332,37876,1,me-sos,2026-09-06T15:38:49+00:00
party_swing,2024,ME,senate,0,1.5712,-23.2132,-24.7844,2018,0.4776,1.0936,-0.2925,1.8637,0,1.5712,44.9595,20.4896,58.5189,-13.993,-12.6111,59.8332,37876,1,me-sos,2026-09-06T15:38:49+00:00
party_swing,2024,NC,president,0,-1.8638,-3.2119,-1.3481,2020,-4.1342,2.2704,-4.7644,2.9006,0,-1.8638,79.3237,-1.1678,,-11.4167,,106.6301,4520768,1,nc-sbe,2026-09-06T15:38:49+00:00
share,2022,NC,senate,0,2.4704,-3.2257,-5.6961,2016,-4.6344,7.1048,-5.0238,7.4942,0,2.4704,57.973,10.2489,8.0886,,,,2187856,1,nc-sbe,2026-09-06T15:38:49+00:00
share,2022,OH,senate,0,14.7594,-6.1119,-20.8713,2016,-2.7887,17.5481,-4.758,19.5174,0,14.7594,35.6608,,62.6791,,,,1473983,1,oh-sos,2026-09-06T15:38:49+00:00
share,2024,FL,president,0,-9.7417,-13.1,-3.3583,2020,-6.7771,-2.9646,-5.9598,-3.7819,0,-9.7417,83.8761,-13.2926,,,,,9137249,2,uf-election-lab,2026-09-06T15:38:49+00:00
share,2024,FL,senate,0,-12.6559,-12.7784,-0.1225,2018,-6.865,-5.7909,-5.1556,-7.5003,0,-12.6559,84.939,-13.2926,,,,,9137249,2,uf-election-lab,2026-09-06T15:38:49+00:00
share,2024,GA,president,0,-2.4276,-2.192,0.2356,2020,-6.1896,3.762,-6.8403,4.4127,0,-2.4276,76.7735,,6.5896,,,,4031303,2,uf-election-lab,2026-09-06T15:38:49+00:00
share,2024,IA,president,0,-5.0565,-13.2095,-8.153,2020,-3.2217,-1.8348,-3.0759,-1.9806,0,-5.0565,40.8954,-2.118,,,,,680297,1,ia-sos,2026-09-06T15:38:49+00:00
share,2024,KY,president,0,-4.5995,-30.5346,-25.9351,2020,-3.0431,-1.5564,-2.9009,-1.6986,0,-4.5995,38.7363,-10.5113,14.2991,,,,803596,1,ky-sbe,2026-09-06T15:38:49+00:00
share,2024,ME,president,0,-2.1283,6.8461,8.9744,2020,-3.5579,1.4296,-3.6477,1.5194,0,-2.1283,44.9595,20.4896,58.5189,-13.993,-12.6111,59.8332,37876,1,me-sos,2026-09-06T15:38:49+00:00
share,2024,ME,senate,0,1.5712,-23.2132,-24.7844,2018,-3.5579,5.1291,-3.8801,5.4513,0,1.5712,44.9595,20.4896,58.5189,-13.993,-12.6111,59.8332,37876,1,me-sos,2026-09-06T15:38:49+00:00
share,2024,MI,president,0,-4.1977,-1.4142,2.7835,2020,-4.6867,0.489,-4.7142,0.5165,0,-4.1977,58.6061,,,,,,331956,2,uf-election-lab,2026-09-06T15:38:49+00:00
share,2024,MI,senate,0,-6.1648,0.3408,6.5056,2018,-4.7624,-1.4024,-4.6806,-1.4842,0,-6.1648,59.5203,,,,,,331956,2,uf-election-lab,2026-09-06T15:38:49+00:00
share,2024,NC,president,0,-1.8638,-3.2119,-1.3481,2020,-6.4005,4.5367,-7.3302,5.4664,0,-1.8638,79.3237,-1.1678,,-11.4167,,106.6301,4520768,1,nc-sbe,2026-09-06T15:38:49+00:00
share,2024,OH,president,0,-3.1754,-11.2074,-8.032,2020,-3.5974,0.422,-3.6233,0.4479,0,-3.1754,45.4377,,41.3811,,-21.2979,77.8006,262075,1,oh-sos,2026-09-06T15:38:49+00:00
share,2024,OH,senate,0,-10.4645,-3.6187,6.8458,2018,-3.6391,-6.8254,-3.2305,-7.234,0,-10.4645,45.9408,,41.3811,,-21.2979,77.8006,262075,1,oh-sos,2026-09-06T15:38:49+00:00
share,2024,PA,president,0,-2.8746,-1.7097,1.1649,2020,-2.144,-0.7306,-2.0053,-0.8693,0,-2.8746,27.8671,25.3715,,,,,1960226,1,pa-dos,2026-09-06T15:38:49+00:00
share,2024,PA,senate,0,-13.0874,-0.217,12.8704,2018,-2.1675,-10.9199,-0.134,-12.9534,0,-13.0874,28.1515,25.3715,,,,,1960226,1,pa-dos,2026-09-06T15:38:49+00:00
share,2024,SC,president,0,-6.191,-17.8677,-11.6767,2020,-4.9651,-1.2259,-4.8843,-1.3067,0,-6.191,61.9712,,6.8044,,,,1579112,1,sc-sec,2026-09-06T15:38:49+00:00
share,2024,VA,president,0,-4.3475,5.7665,10.114,2020,-4.205,-0.1425,-4.1979,-0.1496,0,-4.3475,52.7823,,21.8019,,-9.5084,139.5549,2376938,1,va-elect,2026-09-06T15:38:49+00:00
share,2024,VA,senate,0,-7.0602,8.9349,15.9951,2018,-4.2617,-2.7985,-4.1217,-2.9385,0,-7.0602,53.468,,21.8019,,-9.5084,139.5549,2376938,1,va-elect,2026-09-06T15:38:49+00:00
share,2024,WI,president,0,-1.486,-0.8589,0.6271,2020,-3.6046,2.1186,-3.734,2.248,0,-1.486,45.5242,,37.9398,,,,1558257,1,wi-wec,2026-09-06T15:38:49+00:00
