cycle,state,date,days_to_election,dimension,bucket,ballots_total,source_tier,source_name,retrieved_at
2022,SC,2022-10-19,20,race,unknown,25,1,sc-sec,2026-09-06T15:38:14+00:00
2022,SC,2022-10-19,20,race,white,8680,1,sc-sec,2026-09-06T15:38:14+00:00
2022,SC,2022-10-20,19,race,asian,97,1,sc-sec,2026-09-06T15:38:14+00:00
2022,SC,2022-10-20,19,race,black,3048,1,sc-sec,2026-09-06T15:38:14+00:00
2022,SC,2022-10-20,19,race,hispanic,59,1,sc-sec,2026-09-06T15:38:14+00:00
2022,SC,2022-10-20,19,race,native,26,1,sc-sec,2026-09-06T15:38:14+00:00
2022,SC,2022-10-20,19,race,other,57,1,sc-sec,2026-09-06T15:38:14+00:00
2022,SC,2022-10-20,19,race,unknown,26,1,sc-sec,2026-09-06T15:38:14+00:00
2022,SC,2022-10-20,19,race,white,11299,1,sc-sec,2026-09-06T15:38:14+00:00
2022,SC,2022-10-21,18,race,asian,108,1,sc-sec,2026-09-06T15:38:14+00:00
2022,SC,2022-10-21,18,race,black,3622,1,sc-sec,2026-09-06T15:38:14+00:00
2022,SC,2022-10-21,18,race,hispanic,64,1,sc-sec,2026-09-06T15:38:14+00:00
2022,SC,2022-10-21,18,race,native,30,1,sc-sec,2026-09-06T15:38:14+00:00
2022,SC,2022-10-21,18,race,other,63,1,sc-sec,2026-09-06T15:38:14+00:00
2022,SC,2022-10-21,18,race,unknown,29,1,sc-sec,2026-09-06T15:38:14+00:00
2022,SC,2022-10-21,18,race,white,13060,1,sc-sec,2026-09-06T15:38:14+00:00
2024,SC,2024-09-24,42,race,asian,10,1,sc-sec,2026-09-06T15:28:42+00:00
2024,SC,2024-09-24,42,race,black,25,1,sc-sec,2026-09-06T15:28:42+00:00
2024,SC,2024-09-24,42,race,hispanic,16,1,sc-sec,2026-09-06T15:28:42+00:00
2024,SC,2024-09-24,42,race,native,1,1,sc-sec,2026-09-06T15:28:42+00:00
2024,SC,2024-09-24,42,race,other,14,1,sc-sec,2026-09-06T15:28:42+00:00
2024,SC,2024-09-24,42,race,unknown,30,1,sc-sec,2026-09-06T15:28:42+00:00
2024,SC,2024-09-24,42,race,white,438,1,sc-sec,2026-09-06T15:28:42+00:00
2024,SC,2024-09-25,41,race,asian,22,1,sc-sec,2026-09-06T15:28:42+00:00
